t,m_req,redundancy
1.23000000,4,12.50000000
1.23200000,4,12.50000000
1.23400000,4,12.50000000
1.23600000,4,12.50000000
1.23800000,4,12.50000000
1.24000000,4,12.50000000
1.24200000,4,12.50000000
1.24400000,5,10.00000000
1.24600000,5,10.00000000
1.24800000,5,10.00000000
1.25000000,5,10.00000000
1.25200000,5,10.00000000
1.25400000,5,10.00000000
1.25600000,5,10.00000000
1.25800000,5,10.00000000
1.26000000,5,10.00000000
1.26200000,5,10.00000000
1.26400000,5,10.00000000
1.26600000,5,10.00000000
1.26800000,5,10.00000000
1.27000000,5,10.00000000
1.27200000,5,10.00000000
1.27400000,5,10.00000000
1.27600000,5,10.00000000
1.27800000,5,10.00000000
1.28000000,5,10.00000000
1.28200000,5,10.00000000
1.28400000,5,10.00000000
1.28600000,5,10.00000000
1.28800000,5,10.00000000
1.29000000,5,10.00000000
1.29200000,6,8.33333333
1.29400000,6,8.33333333
1.29600000,6,8.33333333
1.29800000,6,8.33333333
1.30000000,6,8.33333333
1.30200000,6,8.33333333
1.30400000,6,8.33333333
1.30600000,6,8.33333333
1.30800000,6,8.33333333
1.31000000,6,8.33333333
1.31200000,6,8.33333333
1.31400000,6,8.33333333
1.31600000,6,8.33333333
1.31800000,6,8.33333333
1.32000000,6,8.33333333
1.32200000,6,8.33333333
1.32400000,6,8.33333333
1.32600000,6,8.33333333
1.32800000,6,8.33333333
1.33000000,6,8.33333333
1.33200000,7,7.14285714
1.33400000,7,7.14285714
1.33600000,7,7.14285714
1.33800000,7,7.14285714
1.34000000,7,7.14285714
1.34200000,7,7.14285714
1.34400000,7,7.14285714
1.34600000,7,7.14285714
1.34800000,7,7.14285714
1.35000000,7,7.14285714
1.35200000,7,7.14285714
1.35400000,7,7.14285714
1.35600000,7,7.14285714
1.35800000,7,7.14285714
1.36000000,7,7.14285714
1.36200000,7,7.14285714
1.36400000,8,6.25000000
1.36600000,8,6.25000000
1.36800000,8,6.25000000
1.37000000,8,6.25000000
1.37200000,8,6.25000000
1.37400000,8,6.25000000
1.37600000,8,6.25000000
1.37800000,8,6.25000000
1.38000000,8,6.25000000
1.38200000,8,6.25000000
1.38400000,8,6.25000000
1.38600000,8,6.25000000
1.38800000,8,6.25000000
1.39000000,9,5.55555556
1.39200000,9,5.55555556
1.39400000,9,5.55555556
1.39600000,9,5.55555556
1.39800000,9,5.55555556
1.40000000,9,5.55555556
1.40200000,9,5.55555556
1.40400000,9,5.55555556
1.40600000,9,5.55555556
1.40800000,9,5.55555556
1.41000000,9,5.55555556
1.41200000,10,5.00000000
1.41400000,10,5.00000000
1.41600000,10,5.00000000
1.41800000,10,5.00000000
1.42000000,10,5.00000000
1.42200000,10,5.00000000
1.42400000,10,5.00000000
1.42600000,11,4.54545455
1.42800000,11,4.54545455
1.43000000,11,4.54545455
1.43200000,11,4.54545455
1.43400000,11,4.54545455
1.43600000,11,4.54545455
1.43800000,11,4.54545455
1.44000000,12,4.16666667
1.44200000,12,4.16666667
1.44400000,12,4.16666667
1.44600000,12,4.16666667
1.44800000,12,4.16666667
1.45000000,12,4.16666667
1.45200000,13,3.84615385
1.45400000,13,3.84615385
1.45600000,13,3.84615385
1.45800000,13,3.84615385
1.46000000,13,3.84615385
1.46200000,14,3.57142857
1.46400000,14,3.57142857
1.46600000,14,3.57142857
1.46800000,14,3.57142857
1.47000000,15,3.33333333
1.47200000,15,3.33333333
1.47400000,15,3.33333333
1.47600000,16,3.12500000
1.47800000,16,3.12500000
1.48000000,16,3.12500000
1.48200000,17,2.94117647
1.48400000,17,2.94117647
1.48600000,18,2.77777778
1.48800000,18,2.77777778
1.49000000,18,2.77777778
1.49200000,19,2.63157895
1.49400000,19,2.63157895
1.49600000,20,2.50000000
1.49800000,20,2.50000000
1.50000000,20,2.50000000
1.50200000,20,2.50000000
1.50400000,21,2.38095238
1.50600000,21,2.38095238
1.50800000,21,2.38095238
1.51000000,21,2.38095238
1.51200000,22,2.27272727
1.51400000,22,2.27272727
1.51600000,22,2.27272727
1.51800000,22,2.27272727
1.52000000,22,2.27272727
1.52200000,22,2.27272727
1.52400000,22,2.27272727
1.52600000,23,2.17391304
1.52800000,23,2.17391304
1.53000000,23,2.17391304
1.53200000,23,2.17391304
1.53400000,23,2.17391304
1.53600000,23,2.17391304
1.53800000,23,2.17391304
1.54000000,23,2.17391304
1.54200000,23,2.17391304
1.54400000,23,2.17391304
1.54600000,23,2.17391304
1.54800000,23,2.17391304
1.55000000,23,2.17391304
1.55200000,23,2.17391304
1.55400000,23,2.17391304
1.55600000,23,2.17391304
1.55800000,23,2.17391304
1.56000000,22,2.27272727
1.56200000,22,2.27272727
1.56400000,22,2.27272727
1.56600000,22,2.27272727
1.56800000,22,2.27272727
1.57000000,22,2.27272727
1.57200000,22,2.27272727
1.57400000,22,2.27272727
1.57600000,22,2.27272727
1.57800000,21,2.38095238
1.58000000,21,2.38095238
1.58200000,21,2.38095238
1.58400000,21,2.38095238
1.58600000,20,2.50000000
1.58800000,20,2.50000000
1.59000000,20,2.50000000
1.59200000,20,2.50000000
1.59400000,20,2.50000000
1.59600000,19,2.63157895
1.59800000,19,2.63157895
1.60000000,19,2.63157895
1.60200000,19,2.63157895
1.60400000,18,2.77777778
1.60600000,18,2.77777778
